c
c
c
c
c
17 136
1 2 44
1 3 8
1 4 18
1 5 36
1 6 22
1 7 28
1 8 32
1 9 37
1 10 48
1 11 35
1 12 14
1 13 46
1 14 25
1 15 19
1 16 3
1 17 46
2 3 38
2 4 11
2 5 31
2 6 19
2 7 29
2 8 50
2 9 25
2 10 23
2 11 15
2 12 23
2 13 9
2 14 14
2 15 42
2 16 44
2 17 19
3 4 1
3 5 25
3 6 25
3 7 32
3 8 17
3 9 17
3 10 48
3 11 17
3 12 17
3 13 36
3 14 9
3 15 48
3 16 21
3 17 34
4 5 2
4 6 39
4 7 46
4 8 32
4 9 28
4 10 33
4 11 50
4 12 7
4 13 7
4 14 8
4 15 1
4 16 39
4 17 19
5 6 2
5 7 31
5 8 23
5 9 42
5 10 2
5 11 30
5 12 13
5 13 30
5 14 34
5 15 10
5 16 37
5 17 45
6 7 11
6 8 43
6 9 37
6 10 27
6 11 26
6 12 50
6 13 38
6 14 27
6 15 42
6 16 34
6 17 48
7 8 39
7 9 25
7 10 23
7 11 34
7 12 14
7 13 4
7 14 1
7 15 49
7 16 7
7 17 32
8 9 13
8 10 18
8 11 48
8 12 28
8 13 40
8 14 6
8 15 29
8 16 38
8 17 17
9 10 9
9 11 28
9 12 5
9 13 13
9 14 14
9 15 26
9 16 25
9 17 37
10 11 16
10 12 4
10 13 10
10 14 29
10 15 3
10 16 43
10 17 14
11 12 22
11 13 8
11 14 10
11 15 11
11 16 11
11 17 1
12 13 2
12 14 14
12 15 26
12 16 48
12 17 37
13 14 20
13 15 23
13 16 34
13 17 41
14 15 29
14 16 25
14 17 41
15 16 8
15 17 2
16 17 46
